[11:25:38] == exp7b lig | device=cuda:6 n=60 pH=[5.0, 5.5, 6.0, 6.5, 7.0, 7.4, 8.0, 8.5, 9.0] T=['T1', 'T2', 'T3'] ==
[11:25:38] backbone=ligandmpnn_v_32_010_25.pt enc=finetune_epoch050.pt
    条件编码器已加载: finetune_epoch050.pt  (epoch=50, n_tokens=4, token_dim=128)
[13:07:31]     [T3 1CGE pH8.5 native] target=-12 eff=-11.523 n=60 (40s)
[13:08:08]     [T3 1CGE pH8.5 n2] target=-14 eff=-13.361 n=60 (37s)
[13:08:45]     [T3 1CGE pH8.5 p2] target=-10 eff=-9.686 n=60 (37s)
[13:09:22]     [T3 1CGE pH8.5 n8] target=-20 eff=-18.875 n=60 (37s)
[13:09:59]     [T3 1CGE pH8.5 p8] target=-4 eff=-4.172 n=60 (37s)
[13:10:36]     [T3 1CGE pH9.0 native] target=-13 eff=-12.853 n=60 (37s)
[13:11:13]     [T3 1CGE pH9.0 n2] target=-15 eff=-14.843 n=60 (37s)
[13:11:50]     [T3 1CGE pH9.0 p2] target=-11 eff=-10.864 n=60 (37s)
[13:12:27]     [T3 1CGE pH9.0 n8] target=-21 eff=-20.812 n=60 (37s)
[13:13:04]     [T3 1CGE pH9.0 p8] target=-5 eff=-4.895 n=60 (37s)
[13:13:04] === 1CGE done (6443s) ===
[13:13:04] 
=== exp7b 采样完成 ===
